tios_groupid,group_name,base,cow_id1,Education_count,Health_count,Security_count,Financial_count,Disaster_count,PublicServices_count,Religious_count,Total_Service_count,Religious,PublicServices,NatDisaster,FinancialJobsWelfareSubsidies,SecurityJustice,HealthEmergency,EducationYouthRecreation,service_coverage,PctEducationYouthRecreation,pctHealthEmergency,pctFinancialJobsWelfareSubsidies,pctSecurityJustice,pctNatDisaster,pctPublicServices,pctReligious,pctMadrassas,pctTunnels,pctUncertain,service_involvement,top_services,logtotal,logservice_coverage,Total_Service_Normalized,Education_Normalized,Health_Normalized,Security_Normalized,Financial_Normalized,Disaster_Normalized,Public_Normalized,Religious_Normalized,Total_Service_Rank,Total_Service_Percentile,Education_count_rank,Education_count_percentile,Health_count_rank,Health_count_percentile,Security_count_rank,Security_count_percentile,Financial_count_rank,Financial_count_percentile,Disaster_count_rank,Disaster_count_percentile,PublicServices_count_rank,PublicServices_count_percentile,Religious_count_rank,Religious_count_percentile,Total_Service_count_rank,Total_Service_count_percentile,PC_TotalServiceCount,RANK_PC_TSC,Norm_RANK_PC_TSC,PC_Education_count,RANK_PC_Education_count,Norm_RANK_PC_Education_count,PC_Health_count,RANK_PC_Health_count,Norm_RANK_PC_Health_count,PC_Security_count,PC_Financial_count,RANK_PC_Financial_count,Norm_RANK_PC_Financial_count,PC_Disaster_count,RANK_PC_Disaster_count,Norm_RANK_PC_Disaster_count,PC_PublicServices_count,RANK_PC_PublicServices_count,Norm_RANK_PC_PublicServ_count,PC_Religious_count,RANK_PC_Religious_count,Norm_RANK_PC_Religious_count,RANK_PC_Security_count,Norm_RANK_PC_Security_count,TotalNewsCoverage,year
322,Harakat al-Shuhada'a al-Islamiyah,Libya,620,1,0,0,4,24,4,0,33,0,1,1,1,0,0,1,4,.030303031,0,.12121212,0,.72727275,.12121212,0,0,0,0,3.3,1,8.7302055,1.3862944,.0012874532,.0001440507,0,0,.0016778524,.0065270602,.00053085602,0,49.5,.87436551,43,.89086294,29.5,.92512691,20,.9492386,81.5,.79314721,217.5,.44796956,29,.92639595,28,.92893404,49.5,.87436551,.0029152741,49.5,.12563452,.00092693866,43,.10913706,0,29.5,.074873097,0,.0042320876,81.5,.20685279,.0411685,215.5,.54695433,.00094274251,29,.073604062,0,28,.071065992,20,.05076142,6187,10
354,Front for the Liberation of the French Somali Coast,"Djibouti, Somalia",522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,6.0378709,,0,0,0,0,0,0,0,0,1,.99746192,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,4,.98984772,28,.92893404,1,.99746192,0,1,.002538071,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,0,4,.010152284,0,28,.071065992,20,.05076142,419,11
312,Territorial Anti-Imperialist Nuclei,Italy,325,0,0,0,0,0,24,0,24,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.1818182,1,7.266129,0,.0009363296,0,0,0,0,0,.003185136,0,40,.89847714,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,78.5,.8007614,28,.92893404,40,.89847714,.0021201994,40,.10152284,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.0056564552,78.5,.19923858,0,28,.071065992,20,.05076142,1431,11
440,Charles Martel Group,France,220,3,1,0,0,0,8,0,13,0,1,0,0,0,1,1,4,.23076923,.07692308,0,0,0,.61538464,0,0,0,.07692308,1.625,1,7.0791845,1.3862944,.00050717854,.00043215213,.00027472529,0,0,0,.001061712,0,25.5,.93527919,63.5,.8388325,67,.82994926,20,.9492386,20.5,.94796956,41,.89593911,45,.88578683,28,.92893404,25.5,.93527919,.0011484413,25.5,.064720809,.0027808161,63.5,.16116752,.0015975462,67,.17005076,.0015975462,0,20.5,.052030455,0,41,.10406091,.001885485,45,.1142132,0,28,.071065992,20,.05076142,1187,8
328,Turkish Islamic Jihad,Turkey,640,7,1,0,5,33,43,5,104,1,1,1,1,0,1,1,7,.067307696,.009615385,.048076924,0,.31730768,.41346154,.048076924,0,0,.096153848,20.799999,1,9.4359608,1.9459101,.0040574283,.0010083549,.00027472529,0,.0020973154,.0089747077,.0057067019,.0012926577,89,.77411169,102.5,.73984772,67,.82994926,20,.9492386,91,.76903552,236.5,.39974618,108,.72588831,121,.69289339,89,.77411169,.0091875307,89,.22588833,.0064885709,102.5,.26015228,.0015975462,67,.17005076,.0015975462,.0052901097,91,.23096447,.056606688,234.5,.59517765,.010134482,108,.27411169,.0074393693,121,.30710658,20,.05076142,12531,5
161,Ethiopian People's Revolutionary Army,"Ethiopia, Sudan",530,0,3,0,3,1,16,0,32,0,1,1,1,0,1,0,5,0,.09375,.09375,0,.03125,.5,0,0,0,.28125,2.6666667,1,8.6602545,1.6094379,.0012484394,0,.00082417583,0,.0012583892,.00027196083,.0021234241,0,48,.87817258,19,.95177662,91,.76903552,20,.9492386,69.5,.82360405,93,.76395941,68,.82741117,28,.92893404,48,.87817258,.0028269326,48,.12182741,0,19,.04822335,.0047926386,91,.23096447,.0047926386,.0031740658,69.5,.17639594,.0017153542,93,.23604061,.00377097,68,.17258883,0,28,.071065992,20,.05076142,5769,12
434,al-Fatah Uprising,"Jordan, Lebanon, Syria, West Bank/Gaza",663,6,0,0,4,9,29,0,64,0,1,1,1,0,0,1,6,.09375,0,.0625,0,.140625,.453125,0,0,.03125,.21875,2.7826087,1,9.6222515,1.7917595,.0024968788,.00086430425,0,0,.0016778524,.0024476475,.0038487061,0,72.5,.81598985,95.5,.7576142,29.5,.92512691,20,.9492386,81.5,.79314721,164,.58375633,88.5,.77538073,28,.92893404,72.5,.81598985,.0056538652,72.5,.18401015,.0055616321,95.5,.24238579,0,29.5,.074873097,0,.0042320876,81.5,.20685279,.015438187,164,.41624364,.0068348832,88.5,.22461928,0,28,.071065992,20,.05076142,15097,23
313,VAR-Palmares,"Brazil, Uruguay",140,6,0,0,9,15,54,1,135,1,1,1,1,0,0,1,7,.044444446,0,.06666667,0,.11111111,.40000001,.0074074073,0,.014814815,.35555556,45,1,9.7612906,1.9459101,.0052668541,.00086430425,0,0,.0037751677,.0040794127,.0071665561,.00025853154,100,.74619287,95.5,.7576142,29.5,.92512691,20,.9492386,110.5,.71954316,189.5,.51903552,117,.70304567,64.5,.83629441,100,.74619287,.011926122,100,.2538071,.0055616321,95.5,.24238579,0,29.5,.074873097,0,.0095221968,110.5,.28045684,.025730312,188.5,.4784264,.012727024,117,.2969543,.0014878738,64.5,.16370559,20,.05076142,17349,3
262,Arab Fedayeen Cells,Lebanon,660,0,2,0,0,0,3,0,6,0,1,0,0,0,1,0,3,0,.33333334,0,0,0,.5,0,0,0,.16666667,6,1,6.767343,1.0986123,.0002340824,0,.00054945057,0,0,0,.000398142,0,13,.96700507,19,.95177662,81,.79441625,20,.9492386,20.5,.94796956,41,.89593911,24,.93908632,28,.92893404,13,.96700507,.00053004985,13,.032994922,0,19,.04822335,.0031950923,81,.20558375,.0031950923,0,20.5,.052030455,0,41,.10406091,.0007070569,24,.060913704,0,28,.071065992,20,.05076142,869,0
358,Cinchonero Movimiento Popular de Liberación (MPL),"Honduras, Nicaragua",91,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,.5,0,0,0,.5,.33333334,1,6.5861716,.69314718,.00015605493,0,0,0,0,0,.00026542801,0,9,.97715735,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,17.5,.95558375,28,.92893404,9,.97715735,.00035336657,9,.02284264,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.00047137126,17.5,.044416245,0,28,.071065992,20,.05076142,725,12
